Interjection,voyelle,openness,frequence
ah,ɑ,4,
ah bon,ɑ,4,
ahi,a,4,
aïe,a,4,
allez,a,4,
alors,a,4,
atchou,a,4,
atchoum,a,4,
attention,a,4,
au meurtre,o,2,
au nom du ciel,o,2,
au secours,o,2,
au voleur,o,2,
aux armes,a,4,
aweille,a,4,
ayoye,a,4,
bah,ɑ,4,
balek,a,4,
bang,ɑ,4,
bas les pattes,a,4,
belek,e,2,
ben,ɛ,2,
berk,ɛ,2,
bernique,ɛ,2,
beuh,ø,2,
beurk,ø,2,
bigre,i,1,
bingo,i,1,
bis,i,1,
bla-bla-bla,a,4,
bof,ɔ,3,
bon,o,2,
bon Dieu,o,2,
bon sange,o,2,
bonté divine,o,2,
bordel,ɔ,3,
bordel de merde,ɔ,3,
boudiou,u,1,
bouh,u,1,
boum,u,1,
bravo,a,4,
broum,u,1,
brrr,/,/,
ça suffit,a,4,
calice,a,4,
câline,a,4,
câlisse,a,4,
calvaire,a,4,
cheh,ɛ,3,
chiche,i,1,
chouette,u,1,
chtt,/,/,
chut,y,1,
ciel,i,1,
cool,u,1,
corbleu,o,2,
couac,u,1,
coucou,u,1,
coudonc,u,1,
couic,u,1,
courage,u,1,
crénom,e,2,
crisse,i,1,
cristi,i,1,
cul sec,u,1,
dame,a,4,
dia,i,1,
diable,i,1,
diantre,ɑ,4,
dieu du ciel,ø  ,2,
Dieu merci,ø  ,2,
Dieu soit loué,ø  ,2,
dieux du ciel,ø  ,2,
dis donc,i,1,
dommage,o,2,
doucement les basses,u,1,
doux Jésus,u,1,
du balai,a,4,
du calme,a,4,
du nerf,ε,3,
du vent,a,4,
échec,e,2,
échec et mat,e,2,
eh,e,2,
eh bien,e,2,
en avant,ɑ,4,
en garde,ɑ,4,
encore heureux,ɑ,4,
enfin,ɑ,4,
euh,ø  ,2,
eurêka,ø  ,2,
fi,i,1,
fichtre,i,1,
fiou,i,1,
flac,a,4,
floc,o,2,
gare,a,4,
glou,u,1,
gnangnangnan,a,4,
gneu gneu,ø,2,
gneu-gneu,ø,2,
gneugneu,ø,2,
gneux gneux,ø,2,
grand Dieu,ɑ,4,
grands dieux,ɑ,4,
ha,a,4,
haïe,ε,3,
halte,a,4,
haro,a,4,
haut les cœurs,o,2,
haut les mains,o,2,
hé,e,2,
héhé,e,2,
hein,ε,3,
hélas,e,2,
hélas non,e,2,
hem,ε,3,
heu,ø,2,
hic,i,1,
hin,ε,3,
hmm,/,/,
ho,o,2,
ho mon Dieu,o,2,
holà,o,2,
hop,o,2,
hors de question,o,2,
hourra,u,1,
hourrah,u,1,
hue,y,1,
hum,u,1,
juste ciel,y,1,
khalass,a,4,
la ferme,a,4,
la honte,a,4,
la vache,a,4,
las,a,4,
merde,ε,3,
ma foi,a,4,
malepeste,a,4,
mâtin,a,4,
mazette,a,4,
mets-en,ε,3,
meuh,ø,2,
miam,i,1,
miaou,a,4,
mince,ε,3,
misère,i,1,
miséricorde,i,1,
mon Dieu,ø,2,
mon œil,ɔ,3,
morbleu,ɔ,3,
motus,o,2,
mouais,u,1,
mouarf,u,1,
nenni,ε,3,
n'importe quoi,a,4,
ô mon Dieu,o,2,
oh,o,2,
oh là là,a,4,
oh mon Dieu,o,2,
oh non,o,2,
ohé,o,2,
OK,o,2,
okay,o,2,
oki,o,2,
oua-oua,u,1,
ouaf,u,1,
ouah,u,1,
ouaich,u,1,
ouaiiis,u,1,
ouaille,u,1,
ouaip,u,1,
ouais,u,1,
ouate de phoque,u,1,
ouch,u,1,
ouèche,u,1,
ouf,u,1,
ouh,u,1,
oui,u,1,
oui-da,u,1,
ouille,u,1,
ouip,u,1,
ouipe,u,1,
ouistiti,u,1,
oups,u,1,
ouste,u,1,
oustiti,u,1,
putain,y,1,
paf,a,4,
par pitié,a,4,
pas touche,a,4,
patapouf,a,4,
patati,a,4,
patatras,a,4,
pécaïre,e,2,
pétard,e,2,
peuh,ø,2,
pff,/,/,
pfff,/,/,
pfut,u,1,
pigé,i,1,
ploc,ɔ,3,
plouf,u,1,
polop,ɔ,3,
pouah,u,1,
pouce,u,1,
pouët,u,1,
pouf,u,1,
pour l'amour de Dieu,a,4,
pour l'amour du ciel,a,4,
pschitt,i,1,
psitt,i,1,
punaise,y,1,
purée,y,1,
putain,y,1,
putain de bordel de merde,y,1,
putain de merde,y,1,
quel dommage,ε,3,
quelle horreur,ε,3,
qu'importe,ε,3,
quoi encore,a,4,
rhô,o,2,
sacredieu,a,4,
sacristi,a,4,
sah,a,4,
saperlipopette,a,4,
sapristi,a,4,
scrogneugneu,ɔ,3,
si,i,1,
super,y,1,
ta gueule,a,4,
ta mère,a,4,
ta yeule,a,4,
tabarnak,a,4,
tabarnouche,a,4,
tabarouette,a,4,
tabernacle,a,4,
tac,a,4,
tada,a,4,
tadam,a,4,
tant mieux,ɑ,4,
tchin tchin,i,1,
tchin-tchin,i,1,
tiens,ɛ̃,3,
tiens donc,ɛ̃,3,
tin,ɛ,3,
tintin,ɛ,3,
toc-toc,ɔ,3,
tralala,a,4,
turlututu,y,1,
va chier,a,4,
vé,e,2,
voilà,ɔ,3,
waouh,a,4,
waouw,a,4,
wouaf,a,4,
youpi,u,1,
zou,u,1,
zut,y,1,
zyva,i,1,
